 Net Value Growth Rate, Net Income to Stockholder's Equity, Persistent EPS in the Last Four Seasons, Net Income to Total Assets, Interest Expense Ratio, Borrowing dependency, Degree of Financial Leverage (DFL), Net profit before tax/Paid-in capital, Net Value Per Share (A), Interest Coverage Ratio (Interest expense to EBIT), Interest-bearing debt interest rate, Non-industry income and expenditure/revenue, Cash/Current Liability, Cash/Total Assets, Total debt/Total net worth, Fixed Assets Turnover Frequency, Net worth/Assets, Debt ratio %, Continuous interest rate (after tax), ROA(A) before interest and % after tax, Retained Earnings to Total Assets, Per Share Net profit before tax (Yuan ¥), Total assets to GNP price, Inventory/Working Capital, ROA(B) before interest and depreciation after tax, No-credit Interval, Net Value Per Share (B), Equity to Liability, Total income/Total expense, Operating Expense Rate, Liability to Equity, Average Collection Days, Operating profit per person, Current Liability to Equity, Accounts Receivable Turnover, Total Asset Return Growth Rate Ratio, Working Capital to Total Assets, Continuous Net Profit Growth Rate, Working Capital/Equity, After-tax net Interest Rate, Revenue per person,Bankrupt?
0.000326977269203,0.82789021403512,0.16914058806845,0.716845343217827,0.629951302036958,0.390284354359258,0.0266006307607414,0.137757333534424,0.147949938898487,0.564050112276341,0.0007250725072507,0.302646433889668,0.0001473360247605,0.004094405952288,0.0212659243655332,0.0001165006532358,0.792423738549445,0.207576261450555,0.780984850207341,0.424389446140427,0.903224771166726,0.138736160277171,0.0092194400211029,0.276920158240506,0.40574977247176,0.622878959445127,0.147949938898487,0.0164687409123162,0.0020216130120256,0.0001256968688759,0.29020189277926,0.0034873642818412,0.392912869451166,0.339077006789355,0.0018138841264849,0.263099983681843,0.67277529248986,0.217535386199635,0.721274551521743,0.808809360876843,0.0341641819543792,1
0.0004430401005442,0.839969268005573,0.2089439349532,0.795297136043035,0.635172463390912,0.376760019951553,0.264576819837375,0.168961616770983,0.182251064009102,0.570174946412453,0.0006470647064706,0.303556430290771,0.0013839100814699,0.0149477269714099,0.0125023937843679,719000000.0,0.828823653898479,0.171176346101521,0.781505974330882,0.53821412996075,0.931065217577487,0.16991790314077,0.0083233017948103,0.28964157642601,0.516730017666899,0.623651741728055,0.182251064009102,0.020794306334635,0.0022256083431017,0.0002897850537287,0.283845979801729,0.004916807917444,0.39158996856697,0.329740147869877,0.0012863563044647,0.264515778104141,0.751110917003808,0.217619596450422,0.731975288512351,0.809300725667939,0.0068886506176284,1
0.0003964253147034,0.836774308550174,0.180580504869056,0.774669696989803,0.629631443404885,0.379092920106557,0.0265547199199004,0.148035593092527,0.177910749652353,0.563706076496047,0.0007900790079007,0.302035177342951,5340000000.0,0.0009909444511248,0.0212476860084444,2650000000.0,0.792484203525108,0.207515796474892,0.780283936155909,0.499018752725687,0.90990336247412,0.142803344128945,0.0400028528527523,0.277455528130626,0.472295090743616,0.623841037589316,0.177910749652353,0.0164741143272785,0.0020600706495246,0.0002361297205563,0.290188532942043,0.004226849460116,0.381967843332353,0.334776851319847,0.0014953384801111,0.264183975569387,0.829501914934622,0.217601298963609,0.742728637603645,0.808387521469543,0.0289969595934374,1
0.0003824259063219,0.834697106753341,0.193722227474709,0.739554525158061,0.63022835303626,0.379742687599394,0.0266966344214761,0.147560515798205,0.154186507100417,0.564663420271241,0.0004490449044904,0.303349536022685,0.0010106464315761,0.0188506248270314,0.0095724017180532,9150000000.0,0.848535235964567,0.151464764035432,0.781240991205311,0.451264718709115,0.906902158837211,0.148602847028696,0.0032524752911273,0.276580304232685,0.457733283366347,0.622928709143491,0.154186507100417,0.0239823322073886,0.0018313585555101,0.0001078888488144,0.281721192981814,0.0032149673166337,0.378496641866986,0.33150897867186,0.0019660556136061,0.263371175917508,0.725754179688242,0.217568188277463,0.729824908743367,0.808965597694361,0.015463478401363,1
0.0004389475818729,0.839972745788203,0.212536636097192,0.79501587263578,0.636054985548143,0.375025442703033,0.0247518480523254,0.167460975793681,0.167502422991024,0.575616645216918,0.0006860686068606,0.303474977757658,0.000680463559654,0.0141609737513009,0.0051496001240208,0.0002935211263343,0.893490945369894,0.106509054630105,0.781550044617657,0.538432184910597,0.91385019745186,0.168411538751224,0.0038775630938002,0.287912652687691,0.522297767546443,0.623520697668313,0.167502422991024,0.0354902008836198,0.0022239300347802,7890000000.0,0.278513789880418,0.004366890533138,0.39437145247733,0.33072631939891,0.001448672557394,0.265218235929474,0.751822452472965,0.217625639200419,0.731999641010921,0.809303720206941,0.0581114228221436,1
0.0003517819250519,0.829938957445841,0.174435095017491,0.710420495100948,0.630183833098177,0.38144818747302,0.026675365750547,0.137825201719327,0.15557709325355,0.56453833936354,0.0007160716071607,0.303115813175443,0.0001008563413234,0.0026452256427289,0.0142131516792967,9300000000.0,0.819572512622064,0.180427487377936,0.7810690609464,0.415176624509376,0.903041267113845,0.138811478496648,0.0052778749010734,0.276678474304155,0.419133786605279,0.622604643368344,0.15557709325355,0.0195344778286463,0.0018656086149692,0.0001571499952184,0.285087100359518,0.0041371890170226,0.377569480563533,0.335534372009755,0.001527801730697,0.263249955319331,0.686728646249993,0.21756642290514,0.725201638712989,0.808770562067159,0.0213004714833365,1
0.0003517569706697,0.829979763773696,0.161482461945731,0.736619097683939,0.629987945370611,0.384998982291879,0.0266222980418273,0.127939069451776,0.158821794277527,0.564200119780965,0.0008050805080508,0.302814414633032,0.0010503117869961,0.0229885979786101,0.0244412223346921,0.0001452475676706,0.783898176980984,0.216101823019016,0.781180078770725,0.445704317488007,0.911441407767521,0.128944791745123,0.0183718717412392,0.276643291966357,0.436158252583115,0.623655441812907,0.158821794277527,0.0156630746538442,0.002120735670224,0.0003984833580005,0.292504124196417,0.0038050184230862,0.393172926889939,0.337392013222506,0.0016617126393637,0.263032379886705,0.729416462238773,0.217604461369292,0.728730796471968,0.808960389800444,0.0114595420295815,0
0.0004510504572116,0.841459439726482,0.22520563486811,0.815350392476567,0.631379022205175,0.374219104729994,0.0270305165537491,0.179518889978131,0.176983692216931,0.566088941755739,0.0006300630063006,0.303544587044117,0.0008881219853254,0.0146159133960059,0.0052781805414968,0.0005182009575748,0.891797926051335,0.108202073948665,0.781621483394625,0.570922372437854,0.935449309245632,0.180462453867591,0.0100045037641927,0.277275204970332,0.559077038385353,0.623842634519071,0.176983692216931,0.0348885561799154,0.0023599992361997,9000000000.0,0.278607305606177,0.0047400487582028,0.396463218832681,0.329803725937385,0.0013350511803435,0.264111709443551,0.797005213929915,0.217633191808323,0.734946410014,0.809361527829423,0.0280774936474597,0
0.0004527224008151,0.840486633095349,0.218398411647915,0.803647289792132,0.630914987465925,0.370253398138601,0.0268906304546816,0.172158962370862,0.184189456828621,0.565591901310376,0.0007370737073707,0.303583500568838,0.0131902147956569,0.145189217702725,0.0022661158682825,0.0002458617681924,0.941409438582701,0.058590561417299,0.781598185090152,0.545137374618404,0.935200209287994,0.173156586578293,0.0008240712069684,0.277087430376265,0.5432839017078,0.623977216792447,0.184189456828621,0.0658264974662765,0.0022739602931646,0.000168713644609,0.276422514083071,0.0048553264707514,0.391940480767056,0.328092755880752,0.0013025879297576,0.264150562199377,0.813737522948239,0.217653752422812,0.735182054757404,0.809338092306795,0.0163829443473407,0
0.0004449116792048,0.840688177069564,0.217831143046232,0.804194656500343,0.6321882576951,0.374508760118367,0.0272430149466587,0.175657944348088,0.177447220934642,0.566667622359207,0.0006720672067206,0.303482953821731,0.0004908833959261,0.0087727909152724,0.0063542436097356,0.0007383418023256,0.878707258820328,0.121292741179672,0.78157418502952,0.550915830789359,0.938289896761562,0.176621224674249,0.005797642207721,0.277337460862513,0.542962685368596,0.623865043621207,0.177447220934642,0.0308008650901007,0.0022691962830507,5820000000.0,0.279387518743906,0.0043028473594999,0.396372764071369,0.330409487644987,0.0014689620890101,0.263883255239294,0.825695870708439,0.217700368870897,0.737180245673185,0.809320385467476,0.0332799670989821,0
